|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|image_file|Medium|low_est|high_est|Sold|Artist|Movement
3516|2D|1947.0|Gouache|Paper|Yes|16 x 10.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/31851026992559e4ddb4e017780c85a6.jpg|Arbre de neige|HENRI MATISSE|May 17, 2017|images/henri_matisse/31851026992559e4ddb4e017780c85a6.jpg||0|0|1567500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3517|2D|1948.0|Charcoal|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b69dac0473e806a7a2d4702248171fc7.jpg|EVA, GRANDE CHEVELURE|HENRI MATISSE|May 17, 2017|images/henri_matisse/b69dac0473e806a7a2d4702248171fc7.jpg||100000|150000||HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3518|2D|1906.0|Pencil|Paper|Yes|13.75 x 8.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e0e978da34570e2524147731e4a4b5be.jpg|Nu assis sur un tabouret|HENRI MATISSE|May 17, 2017|images/henri_matisse/e0e978da34570e2524147731e4a4b5be.jpg||40000|60000|48000.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3519|2D|1899.0|Oil|Panel|Yes|7.75 x 14 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/140f640e4652370bc20e493a7bdab629.jpg|VUE DE PARIS|HENRI MATISSE|May 17, 2017|images/henri_matisse/140f640e4652370bc20e493a7bdab629.jpg||100000|150000|106250.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3520|2D|1927.0|Pen, India Ink|Paper|Yes|11 x 14.88 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d803c68c879d1ab37fb79c9931ba4b24.jpg|Deux croquis de femme allongée|HENRI MATISSE|May 16, 2017|images/henri_matisse/d803c68c879d1ab37fb79c9931ba4b24.jpg||40000|60000|56250.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3521|2D|1918.0|Charcoal|Paper|Yes|15.5 x 20.88 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3f7e2893c34af41f771ae7a4ca7ac74c.jpg|L’œuf de tourterelle|HENRI MATISSE|May 16, 2017|images/henri_matisse/3f7e2893c34af41f771ae7a4ca7ac74c.jpg||8000|12000|37500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3522|2D|1935.0|Charcoal, Estompe|Paper|Yes|18.75 x 13.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/227c81bfe41a075acb3cd7f2a8806f76.jpg|Nu dans un fauteuil|HENRI MATISSE|May 16, 2017|images/henri_matisse/227c81bfe41a075acb3cd7f2a8806f76.jpg||300000|500000|343500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3523|2D|1903.0|Pen, India Ink|Paper, Card|Yes|10.5 x 5.13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a6d73dee37820d09f5f7631dc5a9ffa6.jpg|Nu de dos|HENRI MATISSE|May 16, 2017|images/henri_matisse/a6d73dee37820d09f5f7631dc5a9ffa6.jpg||40000|60000|68750.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3524|2D|1950.0|Charcoal, Estompe|Paper|Yes|20.75 x 15.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5b80471d982edd7192fe92a33ba611d3.jpg|TÊTE DE FEMME|HENRI MATISSE|May 16, 2017|images/henri_matisse/5b80471d982edd7192fe92a33ba611d3.jpg||300000|500000|372500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3525|2D|1938.0|Charcoal, Estompe|Paper|Yes|22.38 x 15.13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e4d25f644208a43d53ac5b152770f8a1.jpg|Deux personnages féminins et le chien|HENRI MATISSE|May 15, 2017|images/henri_matisse/e4d25f644208a43d53ac5b152770f8a1.jpg||400000|600000|391500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3526|2D|1899.0|Oil|Paper, Cradled Panel|Yes|14.38 x 9.63 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/532007cdfc9367f53d7e062a15c04441.jpg|Arcueil|HENRI MATISSE|Mar 24, 2017|images/henri_matisse/532007cdfc9367f53d7e062a15c04441.jpg||172880|237710|210157.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3527|2D|1904.0|Pencil|Paper|Yes|13.13 x 8.63 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1a000822aa2eda2da0768703702bf6bd.jpg|Nu debout|HENRI MATISSE|Mar 23, 2017|images/henri_matisse/1a000822aa2eda2da0768703702bf6bd.jpg||16179|21572|21572.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3528|2D|1948.0|Pen, Ink|Paper|Yes|26.8 x 21.1 x 8.38 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/283ba4c9816b387baab98ebeef283d5b.jpg|Etudes pour un crucifix|HENRI MATISSE|Mar 2, 2017|images/henri_matisse/283ba4c9816b387baab98ebeef283d5b.jpg||7372|9830|8448.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3529|2D|1919.0|Oil|Canvasboard|Yes|32.8 x 41 x 16.38 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/408f763c91cfe94f2f57b0465d6c5eda.jpg|Femme à l'ombrelle rose|HENRI MATISSE|Mar 2, 2017|images/henri_matisse/408f763c91cfe94f2f57b0465d6c5eda.jpg||147456|221184|184320.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3530|2D|1919.0|Oil|Canvasboard|Yes|32.8 x 41 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/169237eb23e15e68d77b40d6520ce711.jpg|FEMME À L'OMBRELLE ROSE|HENRI MATISSE|Mar 2, 2017|images/henri_matisse/169237eb23e15e68d77b40d6520ce711.jpg||147456|221184|184320.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3531|2D|1943.0|Pen, Ink|Paper|Yes|49 x 37 x 14.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7f6fcbe656b6e576fe32c2ed6c4c9952.jpg|Tête de femme en profil|HENRI MATISSE|Mar 2, 2017|images/henri_matisse/7f6fcbe656b6e576fe32c2ed6c4c9952.jpg||22118|30720|14592.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3532|2D|1930.0|Pen, India Ink|Paper|Yes|9.88 x 12.88 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/89754009f2d86c2dde5989274b550350.jpg|Bateau à l'amarre|HENRI MATISSE|Mar 1, 2017|images/henri_matisse/89754009f2d86c2dde5989274b550350.jpg||36936|61560|64638.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3533|2D|1944.0|Pencil|Paper|Yes|15.75 x 20.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/43d814989fbbb15479125f14a3035ce4.jpg|Deux femmes nues|HENRI MATISSE|Mar 1, 2017|images/henri_matisse/43d814989fbbb15479125f14a3035ce4.jpg||30780|36936|92340.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3534|2D|1903.0|Oil|Canvas|Yes|21.63 x 18.13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6770be17f7cce0282b49af43f77ab1db.jpg|La devideuse picarde (La mère massé dans son intérieur à Bohain)|HENRI MATISSE|Mar 1, 2017|images/henri_matisse/6770be17f7cce0282b49af43f77ab1db.jpg||147744|221616|212997.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
