|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
87|2D|1888|Pen, Ink|Paper|Unknown|5.25 x 8.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2e2e51452db5bcd07952feb4f029699e.jpg|La maison de Vincent à Arles (recto); an autograph letter from Vincent to his brother Theo (verso)|VINCENT VAN GOGH|images/vincent_van_gogh/2e2e51452db5bcd07952feb4f029699e.jpg
88|2D|1890|Oil|Canvas|Unknown|16.25 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/349a51bc60794110d9f4f8e2272541ed.jpg|Nature morte, vase avec oeillets|VINCENT VAN GOGH|images/vincent_van_gogh/349a51bc60794110d9f4f8e2272541ed.jpg
89|2D|1888|Oil|Canvas|Unknown|29 x 36.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7b553848f58bb7a42d557b76bcf711bf.jpg|Une liseuse de romans|VINCENT VAN GOGH|images/vincent_van_gogh/7b553848f58bb7a42d557b76bcf711bf.jpg
90|2D|1882|Gouache, Watercolor, Black Chalk|Paper|Yes|19 x 12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e0f9eb6952a55190dc678e69abc6bfc5.jpg|Sien Nursing Baby|VINCENT VAN GOGH|images/vincent_van_gogh/e0f9eb6952a55190dc678e69abc6bfc5.jpg
91|2D|1889|Charcoal, Pencil|Paper|Unknown|9.875 x 12.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8dfdab39d4309814c9944cb67de36d16.jpg|Six pines near the enclosure wall|VINCENT VAN GOGH|images/vincent_van_gogh/8dfdab39d4309814c9944cb67de36d16.jpg
92|2D|1882|Watercolor, Gouache, Pen, Black Ink|Paper, Board|Unknown|15 x 22.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5122be4f97bd258767959117816f5cde.jpg|Pollard Willow|VINCENT VAN GOGH|images/vincent_van_gogh/5122be4f97bd258767959117816f5cde.jpg
93|2D|1882|Oil|Canvas, Cradled Panel|Unknown|13.625 x 18.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fc8dbb9b62820c6e32406072f61ba7a9.jpg|A Girl in a Wood|VINCENT VAN GOGH|images/vincent_van_gogh/fc8dbb9b62820c6e32406072f61ba7a9.jpg
94|2D|1884|Oil|Canvas, Panel|Unknown|15.75 x 11.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/25c634e6a63940ba819660d8339a735b.jpg|Peasant Woman, Half-Figure, Sitting|VINCENT VAN GOGH|images/vincent_van_gogh/25c634e6a63940ba819660d8339a735b.jpg
95|2D|1882|Oil|Panel|Unknown|14.5 x 23.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e5ec82a53e2270e7322e9483dd385bab.jpg|Het Duin (The dune)|VINCENT VAN GOGH|images/vincent_van_gogh/e5ec82a53e2270e7322e9483dd385bab.jpg
96|2D|1883|Pencil, Chalk|Paper|Unknown|11.25 x 7.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/571e67e4edf5d7f7e0f98585c768be92.jpg|Sien: facing left|VINCENT VAN GOGH|images/vincent_van_gogh/571e67e4edf5d7f7e0f98585c768be92.jpg
97|2D||Gouache|Paper|Unknown|10.875 x 18.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1cbe0e31cd050d6f9b408f6094b3c87b.jpg|The Beach at Scheveningen|VINCENT VAN GOGH|images/vincent_van_gogh/1cbe0e31cd050d6f9b408f6094b3c87b.jpg
98|2D||Watercolor, Gouache|Paper|Yes|20.625 x 14.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f9d96458a7d3e7127772ff895b312404.jpg|Young Scheveningen Woman, Knitting: Facing Right|VINCENT VAN GOGH|images/vincent_van_gogh/f9d96458a7d3e7127772ff895b312404.jpg
99|2D|1882|Watercolour|Paper|Unknown||https://artbnk-art-resized-images.s3.amazonaws.com/w526/f4488cf70705c131236ca209c1d11314.jpg|The Potato Market|VINCENT VAN GOGH|images/vincent_van_gogh/f4488cf70705c131236ca209c1d11314.jpg
100|2D|1884|Oil|Canvas, Panel|Unknown|15.375 x 16.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/656fff066edb7b6a2be3cd1a621de29f.jpg|Nature morte aux pinceaux dans un pot à fleurs|VINCENT VAN GOGH|images/vincent_van_gogh/656fff066edb7b6a2be3cd1a621de29f.jpg
101|2D|1884|Oil|Canvas, Panel|Unknown|15.5 x 11.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/824c3c0605052b762a6dcbeabc26d6d7.jpg|Peasant Woman, Head|VINCENT VAN GOGH|images/vincent_van_gogh/824c3c0605052b762a6dcbeabc26d6d7.jpg
102|2D|1887|Oil|Canvas|Unknown|21.5 x 26.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fa7b9e34247d1c3b9c41cefc8778ce5d.jpg|L'Avenue au parc de Voyer-d'Argenson à Asnières|VINCENT VAN GOGH|images/vincent_van_gogh/fa7b9e34247d1c3b9c41cefc8778ce5d.jpg
103|2D|1887|Oil|Canvas|Unknown|21.5 x 26.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/26e4e49626aa7af11c9848f821aba9a5.jpg|L'Entrée de parc de Voyer-d'Argenson à Asnières|VINCENT VAN GOGH|images/vincent_van_gogh/26e4e49626aa7af11c9848f821aba9a5.jpg
