|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
0|2D|1998|Mixed Media|Canvas|Yes|90 x 90 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a5291498ff5e996835e3453420cc0c3d.jpg|The Bride|ABED ABDI|images/abed_abdi/a5291498ff5e996835e3453420cc0c3d.jpg
1|2D||Oil|Board|Yes|70.5 x 51.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5690222dcc80878a52d602458ea83d53.jpg|DON QUICHOTTE RIDING NEITHER A DONKEY NOR A HORSE|ABED ABDI|images/abed_abdi/5690222dcc80878a52d602458ea83d53.jpg
2|2D|1967|Oil|Canvas|Yes|56 x 76 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ba4c70b015f715925d2aaa9dd238adaa.jpg|EXPULSION FROM THE HOMELAND|ABED ABDI|images/abed_abdi/ba4c70b015f715925d2aaa9dd238adaa.jpg
