|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
815|2D||Pen, Ink|Paper|Yes|15 x 11 inch||LA BLOUSE ROUMAINE - ODALISQUE DEBOUT|HENRI MATISSE|Nov 8, 2006|100,000 - 150,000 USD|120,000 USD|
816|2D|1939|Charcoal|Paper|Yes|20 x 26.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9633ce22c84ffb5a970d3b557659221c.jpg|Maternité|HENRI MATISSE|Nov 8, 2006|800,000 - 1,200,000 USD|2,144,000 USD|images/henri_matisse/9633ce22c84ffb5a970d3b557659221c.jpg
817|2D|1925|Oil|Canvas|Yes|22.125 x 32.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2e9d6de5376a8aead4cff7d3e970794c.jpg|Nature morte: ananas, citrons|HENRI MATISSE|Nov 8, 2006|4,000,000 - 6,000,000 USD|3,600,000 USD|images/henri_matisse/2e9d6de5376a8aead4cff7d3e970794c.jpg
818|2D||Pen, Ink|Paper|Yes|11.125 x 14.875 inch||NU DEVANT LE MIROIR|HENRI MATISSE|Nov 8, 2006|250,000 - 350,000 USD|352,000 USD|
819|2D|1944|Pen, Ink|Paper|Yes|20.625 x 15.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/04ad23065aa78d0c8fe0000b6785dcd7.jpg|PORTRAIT DE FEMME|HENRI MATISSE|Nov 8, 2006|120,000 - 180,000 USD|Unsold|images/henri_matisse/04ad23065aa78d0c8fe0000b6785dcd7.jpg
820|2D||Pencil|Paper|Yes|11.75 x 9.625 inch||POTRAIT DE GERMAINE RAYNAL|HENRI MATISSE|Nov 8, 2006|40,000 - 60,000 USD|120,000 USD|
821|2D||Brush, Ink|Vellum, Paper|Yes|20.5 x 25.625 inch||TÊTE DE FEMME|HENRI MATISSE|Nov 8, 2006|500,000 - 700,000 USD|576,000 USD|
822|2D|1941|Oil|Canvas|Yes|18.25 x 21.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a21f0d0b3b990e38452c5aa516ddf434.jpg|Les huîtres|HENRI MATISSE|Jun 27, 2006|1,443,653 - 2,005,073 USD|4,523,446 USD|images/henri_matisse/a21f0d0b3b990e38452c5aa516ddf434.jpg
823|2D|1938|Pen, India Ink|Paper|Yes|11.125 x 15.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f0f72d34ccc33f402692fdb91be6a128.jpg|Deux vases de fleurs|HENRI MATISSE|Jun 22, 2006|36,610 - 54,915 USD|52,718 USD|images/henri_matisse/f0f72d34ccc33f402692fdb91be6a128.jpg
824|2D|1943|Pencil|Paper|Yes|20.625 x 15.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/285ba664b35e03f222a62728ac5b138e.jpg|Portrait de Mademoiselle Jacqueline Leriche|HENRI MATISSE|Jun 22, 2006|82,372 - 118,983 USD|240,162 USD|images/henri_matisse/285ba664b35e03f222a62728ac5b138e.jpg
825|2D|1906|Brush, India Ink|Paper|Yes|13.75 x 10.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0855cb24db41c08a263ccafb508d5d7d.jpg|Portrait de Marguerite|HENRI MATISSE|Jun 22, 2006|366,101 - 549,152 USD|916,718 USD|images/henri_matisse/0855cb24db41c08a263ccafb508d5d7d.jpg
