|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
0|2D Edition|1946|Lithograph|Paper|Yes|14.625 x 11.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/459914c1016567d0cec0396e84578b19.jpg|Catherinette|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/459914c1016567d0cec0396e84578b19.jpg
1|2D Edition|1946|Lithograph|Paper|Yes|12.75 x 19.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dfc36f72c42ba9d43b9c6b6604161be7.jpg|Catherinette|HENRI MATISSE|Oct 22, 2020|3,000 - 5,000 USD|Unsold|images/henri_matisse/dfc36f72c42ba9d43b9c6b6604161be7.jpg
2|2D Edition|1947|Lithograph|Wove paper|Yes|18.75 x 13.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f2f14ef77505c9aa07c3bdde5ddf3aa6.jpg|Chinoise au visage de face|HENRI MATISSE|Oct 22, 2020|7,000 - 10,000 USD|Unsold|images/henri_matisse/f2f14ef77505c9aa07c3bdde5ddf3aa6.jpg
3|2D Edition|1947|Lithograph|Wove paper|Yes|17.5 x 13.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a43f333279ae2c4ac62896e025b6f9f3.jpg|Chinoise aux Cheveux striés|HENRI MATISSE|Oct 22, 2020|5,000 - 7,000 USD|Unsold|images/henri_matisse/a43f333279ae2c4ac62896e025b6f9f3.jpg
4|2D|1947|Conte crayon|Paper|Yes|16 x 20.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/21dc9a8d4e2071931061a3166b03c0fb.jpg|Coupe de pêches|HENRI MATISSE|Oct 22, 2020|20,000 - 30,000 USD|Unsold|images/henri_matisse/21dc9a8d4e2071931061a3166b03c0fb.jpg
5|2D Edition|1938|Linocut|Paper|Yes|9.375 x 7.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0b1d5151490cf96c5dfb55200479f37a.jpg|Diane|HENRI MATISSE|Oct 22, 2020|8,000 - 12,000 USD|Unsold|images/henri_matisse/0b1d5151490cf96c5dfb55200479f37a.jpg
6|2D|1942|Pencil|Paper|Yes|10 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6ae74935b3edc193af109b8d36282737.jpg|Etudes de feuilles (recto and verso)|HENRI MATISSE|Oct 22, 2020|4,000 - 6,000 USD|Unsold|images/henri_matisse/6ae74935b3edc193af109b8d36282737.jpg
7|2D Edition|1950|Lithograph|Arches Paper|Unknown|9.875 x 7.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/08dc474c4adeef787008703a4c5b1556.jpg|Etudes pour la Vierge 'Tête voilée' : one plate|HENRI MATISSE|Oct 22, 2020|2,000 - 3,000 USD|Unsold|images/henri_matisse/08dc474c4adeef787008703a4c5b1556.jpg
8|2D Edition|1933|Drypoint|Chine applique, Arches Paper|Yes|14.375 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/42cb8eb4c37b1126f4df210551e2eed2.jpg|Fée au Chapeau du clarté'' Souvenir du 'Mallarmé|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/42cb8eb4c37b1126f4df210551e2eed2.jpg
9|2D Edition|1938|Linocut|Paper|Yes|11.125 x 7.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6f3a62ad562aee1e2d97e919dcd0cf85.jpg|Femme le pouce sur les lèvres|HENRI MATISSE|Oct 22, 2020|5,000 - 7,000 USD|Unsold|images/henri_matisse/6f3a62ad562aee1e2d97e919dcd0cf85.jpg
10|2D Edition|1938|Linocut|Paper|Yes|7.25 x 5.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dea7502579c2bae1f88389a995e79139.jpg|Florentine|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/dea7502579c2bae1f88389a995e79139.jpg
11|2D Edition|1947|Lithograph|Wove paper|Yes|18.25 x 13.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/53f2e5600068dc80043986a6a50860a1.jpg|Jeune Chinoise|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/53f2e5600068dc80043986a6a50860a1.jpg
12|2D Edition|1929|Etching|Wove paper|Yes|5.75 x 3.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5258b1793ad03cf4ecf8eec3a2225d8d.jpg|Jeune femme à la coiffure hollandaise, regardent des poissons|HENRI MATISSE|Oct 22, 2020|8,000 - 12,000 USD|Unsold|images/henri_matisse/5258b1793ad03cf4ecf8eec3a2225d8d.jpg
13|2D Edition|1929|Etching|Wove paper|Yes|3.5 x 4.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b70dd46321b9e058758b6a292623f209.jpg|Jeune femme, mains croisées près d'un bocal de poissons|HENRI MATISSE|Oct 22, 2020|8,000 - 12,000 USD|Unsold|images/henri_matisse/b70dd46321b9e058758b6a292623f209.jpg
14|2D Edition|1935|Etching, Aquatint in Colors|Arches Paper|Yes|9.25 x 29.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1e479a73e4cafe7b2c2ea71b7ca43e2f.jpg|La Danse|HENRI MATISSE|Oct 22, 2020|30,000 - 50,000 USD|Unsold|images/henri_matisse/1e479a73e4cafe7b2c2ea71b7ca43e2f.jpg
15|2D Edition|1938|Linocut|Wove paper|Yes|12.375 x 9.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/24cb18ca14102d7db1c48f55b2536226.jpg|La Frégate|HENRI MATISSE|Oct 22, 2020|10,000 - 15,000 USD|Unsold|images/henri_matisse/24cb18ca14102d7db1c48f55b2536226.jpg
16|2D|1919|Conte crayon|Paper|Yes|16 x 20.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2cd2d69b8e9ae52bd9f82d2239c1d62b.jpg|Le rêve de Vence|HENRI MATISSE|Oct 22, 2020|40,000 - 60,000 USD|Unsold|images/henri_matisse/2cd2d69b8e9ae52bd9f82d2239c1d62b.jpg
17|2D Edition|1947|Etching|Wove paper|Yes|9.75 x 7.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/581d445d92b69d4c1847f7d8113ee976.jpg|Martiniquaise: one plate|HENRI MATISSE|Oct 22, 2020|3,000 - 5,000 USD|Unsold|images/henri_matisse/581d445d92b69d4c1847f7d8113ee976.jpg
18|2D Edition|1924|Lithograph|Paper|Yes|18.75 x 12.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4522b064d64cc09c74fa5cfe9f0b5b2c.jpg|Nu assis dans un Fauteuil au décor fleuri|HENRI MATISSE|Oct 22, 2020|7,000 - 10,000 USD|Unsold|images/henri_matisse/4522b064d64cc09c74fa5cfe9f0b5b2c.jpg
19|2D Edition|1929|Etching|Chine applique, Arches Paper|Yes|3.5 x 4.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/454312b97633ab5a169baef98bd6517b.jpg|Nu assis sur le sol, coude posé sur jambe|HENRI MATISSE|Oct 22, 2020|5,000 - 7,000 USD|Unsold|images/henri_matisse/454312b97633ab5a169baef98bd6517b.jpg
20|2D Edition|1913|Lithograph|Japon paper|Yes|19.75 x 13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c9205107b3251340255585413e72b477.jpg|Nu assis, vu de dos|HENRI MATISSE|Oct 22, 2020|7,000 - 10,000 USD|Unsold|images/henri_matisse/c9205107b3251340255585413e72b477.jpg
21|2D Edition|1925|Lithograph|Japon paper|Yes|19.75 x 12.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/12fafaf6cb685e59fdf80192c4e4358f.jpg|Nu au fauteuil bistre|HENRI MATISSE|Oct 22, 2020|7,000 - 9,000 USD|Unsold|images/henri_matisse/12fafaf6cb685e59fdf80192c4e4358f.jpg
22|2D Edition|1929|Etching|Wove paper|Yes|6.25 x 8.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/add5d7553939e4bba93e026ed037f2bf.jpg|Nu couché s'appuyant sur le bras droit|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/add5d7553939e4bba93e026ed037f2bf.jpg
23|2D Edition|1929|Etching|Chine applique, Arches Wove Paper|Yes|3.5 x 4.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bb2e39d5f4c6c431baaadbdd2a3dfec1.jpg|Nu couché. Intérieur à la lampe vénitienne|HENRI MATISSE|Oct 22, 2020|7,000 - 10,000 USD|Unsold|images/henri_matisse/bb2e39d5f4c6c431baaadbdd2a3dfec1.jpg
24|2D|1930|Pencil|Paper|Unknown|1.75 x 11 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ce81db560e4dc5572a6fc27d54afaa67.jpg|Nu debout|HENRI MATISSE|Oct 22, 2020|15,000 - 20,000 USD|Unsold|images/henri_matisse/ce81db560e4dc5572a6fc27d54afaa67.jpg
25|2D Edition|1925|Lithograph|Wove paper|Yes|18.125 x 22 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/da1ba1a918538468a735798c7771b648.jpg|Nu, jambes repliées-Etude de jambes|HENRI MATISSE|Oct 22, 2020|4,000 - 6,000 USD|Unsold|images/henri_matisse/da1ba1a918538468a735798c7771b648.jpg
26|2D||Pencil|Paper|Yes|11.125 x 15.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d7eb71c7da8c741242fea06cbd8db2bb.jpg|Odalisque|HENRI MATISSE|Oct 22, 2020|30,000 - 50,000 USD|Unsold|images/henri_matisse/d7eb71c7da8c741242fea06cbd8db2bb.jpg
27|2D Edition|1925|Lithograph|Japon paper|Yes|21.375 x 17.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ead8b4bf0dadf4a29ffa01b83bd7c1f8.jpg|Odalisque voilée|HENRI MATISSE|Oct 22, 2020|10,000 - 15,000 USD|Unsold|images/henri_matisse/ead8b4bf0dadf4a29ffa01b83bd7c1f8.jpg
28|2D|1905|Watercolor|Paper, Card|Unknown|5.75 x 9.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7e06752e0207c2f55ca07fe60382308d.jpg|Paysage de Collioure|HENRI MATISSE|Oct 22, 2020|50,000 - 80,000 USD|Unsold|images/henri_matisse/7e06752e0207c2f55ca07fe60382308d.jpg
29|2D|1940|Pencil|Paper|Unknown|11.125 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1edb42b226428ee5b543ca75fbce120b.jpg|Pot de fleurs|HENRI MATISSE|Oct 22, 2020|12,000 - 18,000 USD|Unsold|images/henri_matisse/1edb42b226428ee5b543ca75fbce120b.jpg
30|2D|1945|Conte crayon|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e2b2a2dbe9250f7f926fba2c311c2e85.jpg|Tête (Lydia)|HENRI MATISSE|Oct 22, 2020|80,000 - 120,000 USD|Unsold|images/henri_matisse/e2b2a2dbe9250f7f926fba2c311c2e85.jpg
31|2D Edition|1931|Etching|Arches Paper|Yes|4.75 x 3.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3f7c34cd639e7ce621996b220efe2459.jpg|Tête de jeune femme sur fond à carreaux|HENRI MATISSE|Oct 22, 2020|4,000 - 6,000 USD|Unsold|images/henri_matisse/3f7c34cd639e7ce621996b220efe2459.jpg
32|2D|1950|Brush, India Ink, Wash|Paper|Yes|20.5 x 15.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5ce8b2653d56aa846bbb8b58f290186e.jpg|Tête penchée|HENRI MATISSE|Oct 22, 2020|50,000 - 70,000 USD|Unsold|images/henri_matisse/5ce8b2653d56aa846bbb8b58f290186e.jpg
33|2D Edition|1913|Lithograph|Japon paper|Yes|19.75 x 13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6faf1011c7bd984a1b435cca37f092f7.jpg|Torse de face|HENRI MATISSE|Oct 22, 2020|2,000 - 3,000 USD|Unsold|images/henri_matisse/6faf1011c7bd984a1b435cca37f092f7.jpg
34|2D|1917|Oil|Canvas|Yes|18.25 x 15.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/26883ff98bbd098698413564c6103188.jpg|La tour de Chenonceaux|HENRI MATISSE|Oct 14, 2020|194,048 - 258,731 USD|Unsold|images/henri_matisse/26883ff98bbd098698413564c6103188.jpg
35|2D||Pencil|Paper|Yes|31.5 x 25 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b271e93e84e7714bc696da6d0474c83b.jpg|NU|HENRI MATISSE|Oct 14, 2020|23,285 - 32,341 USD|Unsold|images/henri_matisse/b271e93e84e7714bc696da6d0474c83b.jpg
36|2D|1898|Oil|Canvas|Yes|32.7 x 40.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e5189b1128132436bc82c3274c963993.jpg|Coucher de soleil en Corse|HENRI MATISSE|Oct 8, 2020|300,000 - 400,000 USD|Unsold|images/henri_matisse/e5189b1128132436bc82c3274c963993.jpg
37|2D|1939|Pen, India Ink|Paper|Yes|62.8 x 49.8 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f91594c2ae705b7a628f0f6a7f38c6d3.jpg|Femme en robe de résille debout près d'un plat de fruits|HENRI MATISSE|Oct 8, 2020|150,000 - 200,000 USD|475,000 USD|images/henri_matisse/f91594c2ae705b7a628f0f6a7f38c6d3.jpg
38|2D|1941|Conte crayon|Paper|Yes|15.875 x 20.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9ca85bb9e3f0e7adb4fe205d5fc90290.jpg|Jeune femme allongée|HENRI MATISSE|Oct 8, 2020|60,000 - 80,000 USD|75,000 USD|images/henri_matisse/9ca85bb9e3f0e7adb4fe205d5fc90290.jpg
39|2D|1921|Oil|Canvas|Yes|55.4 x 47.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ab6215016336cc1bc09f2ee3a41e45f6.jpg|Jeune fille assise, robe jaune|HENRI MATISSE|Oct 8, 2020|700,000 - 1,000,000 USD|1,086,000 USD|images/henri_matisse/ab6215016336cc1bc09f2ee3a41e45f6.jpg
40|2D|1918|Pencil|Paper|Yes|11 x 15.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/64aa3841974e0f248b1ec363869f5e87.jpg|Nu étendu (recto); Etudes (verso)|HENRI MATISSE|Oct 8, 2020|70,000 - 100,000 USD|Unsold|images/henri_matisse/64aa3841974e0f248b1ec363869f5e87.jpg
41|2D|1936|Oil|Canvas|Yes|24.125 x 15.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/998ff45f7b79d094347b829f6d6a0d2c.jpg|Nu debout devant la porte|HENRI MATISSE|Oct 6, 2020|8,000,000 - 12,000,000 USD|Unsold|images/henri_matisse/998ff45f7b79d094347b829f6d6a0d2c.jpg
42|2D|1930|Pen, Ink|Paper|Yes|14.75 x 10.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7d7ec8598c326ae8f1d564caa48d1bac.jpg|FEMME DESHABILLÉE|HENRI MATISSE|Oct 5, 2020|30,000 - 40,000 USD|Unsold|images/henri_matisse/7d7ec8598c326ae8f1d564caa48d1bac.jpg
43|2D|1942|Pen, Ink|Paper|Yes|13 x 9.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3eabcb750332dec889043baf53ca2844.jpg|PORTRAIT DE FEMME|HENRI MATISSE|Oct 5, 2020|25,000 - 35,000 USD|47,880 USD|images/henri_matisse/3eabcb750332dec889043baf53ca2844.jpg
44|2D||Pencil|Graph Paper|No|7.25 x 6.688 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/678f275d9ff19e9735dd7b0ed45e2c2b.jpg|Untitled (Woman in the Woods)|HENRI MATISSE|Oct 5, 2020|3,000 - 5,000 USD|10,000 USD|images/henri_matisse/678f275d9ff19e9735dd7b0ed45e2c2b.jpg
45|2D|1935|Pencil|Paper|Yes|9.75 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d03981110f10f65e717eccaa235ab353.jpg|Femme assise dans un fauteuil (Woman Sitting in an Armchair)|HENRI MATISSE|Oct 1, 2020|100,000 - 150,000 USD|Unsold|images/henri_matisse/d03981110f10f65e717eccaa235ab353.jpg
46|2D||Pencil|Paper|Yes|39.5 x 28.8 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/746dd4cebb6320c93b430657bd0edf53.jpg|BUSTE DE FEMME - TÊTE PENCHÉE À DROITE|HENRI MATISSE|Jul 29, 2020|29,724 - 42,109 USD|37,155 USD|images/henri_matisse/746dd4cebb6320c93b430657bd0edf53.jpg
47|2D|1942|Oil|Canvas|Yes|49.9 x 61 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9f31b67ca76a119e609a362fefdcdfe9.jpg|DANSEUSE ASSISE DANS UN FAUTEUIL OR DANSEUSE DANS UN INTÉRIEUR, CARRELAGE VERT ET NOIR|HENRI MATISSE|Jul 28, 2020|10,077,164 - 15,115,746 USD|8,140,459 USD|images/henri_matisse/9f31b67ca76a119e609a362fefdcdfe9.jpg
48|2D|1900|Pencil|Paper|Yes|15.375 x 10.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7be63832bdb61777df903722d04b03db.jpg|Nu|HENRI MATISSE|Jul 17, 2020|9,861 - 14,792 USD|24,653 USD|images/henri_matisse/7be63832bdb61777df903722d04b03db.jpg
49|2D|1896|Oil|Cardboard |Yes|31 x 37 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0b52bbf38c4447156945d56dffa542fb.jpg|Maisons à Kervilahouen, Belle-Île|HENRI MATISSE|Jul 8, 2020|113,180 - 169,770 USD|132,420 USD|images/henri_matisse/0b52bbf38c4447156945d56dffa542fb.jpg
50|2D|1944|Ink|Paper|Yes|20.5 x 15.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/32db3f5593a84eacdb9dffd778927b08.jpg|Femme assise en robe de fleurs|HENRI MATISSE|Jul 7, 2020|100,000 - 150,000 USD|118,825 USD|images/henri_matisse/32db3f5593a84eacdb9dffd778927b08.jpg
51|2D|1944|Ink|Paper|Yes|20.5 x 15.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ccdc51de4b5909a29d43c178cfb9be0f.jpg|Fleurs dans un vase|HENRI MATISSE|Jul 7, 2020|80,000 - 120,000 USD|Unsold|images/henri_matisse/ccdc51de4b5909a29d43c178cfb9be0f.jpg
52|2D|1944|Charcoal|Paper|Yes|15 x 22.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/15b201f5e61e3cdfbd6cc2250085c399.jpg|Nu couché|HENRI MATISSE|Jul 7, 2020|200,000 - 300,000 USD|250,075 USD|images/henri_matisse/15b201f5e61e3cdfbd6cc2250085c399.jpg
53|2D|1900|Pencil|Paper|Yes|12.125 x 9.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b7ef61d0810789c8c04488355aac8cab.jpg|ÉTUDE D'HOMME NU|HENRI MATISSE|Jun 29, 2020|15,000 - 20,000 USD|17,500 USD|images/henri_matisse/b7ef61d0810789c8c04488355aac8cab.jpg
54|2D|1939|Pencil|Paper|Yes|16.25 x 13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3a6f4f366537d5f8f5f9eb9510f5a1da.jpg|ÉTUDE POUR “LA BLOUSE ROUMAINE|HENRI MATISSE|Jun 29, 2020|80,000 - 120,000 USD|Unsold|images/henri_matisse/3a6f4f366537d5f8f5f9eb9510f5a1da.jpg
55|2D|1944|Charcoal|Paper|Yes|20.75 x 15.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/642d6f2aaee413354abcbcdc01d81d80.jpg|FEMME AU REPOS|HENRI MATISSE|Jun 29, 2020|100,000 - 150,000 USD|87,500 USD|images/henri_matisse/642d6f2aaee413354abcbcdc01d81d80.jpg
56|2D||Charcoal|Paper|Yes|16 x 10.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/576b3fd34804f0b975e870905acdc17b.jpg|TÊTE (LÈVRES)|HENRI MATISSE|Jun 29, 2020|60,000 - 80,000 USD|Unsold|images/henri_matisse/576b3fd34804f0b975e870905acdc17b.jpg
57|2D|1947|Charcoal|Paper|Yes|37 x 47.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a464b525cb8a38041ad3129c4c27df2c.jpg|LA LECTURE|HENRI MATISSE|Jun 19, 2020|169,275 - 225,700 USD|Unsold|images/henri_matisse/a464b525cb8a38041ad3129c4c27df2c.jpg
58|2D||Pen, India Ink|Paper|Yes|28 x 38 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d97b9e7dac7e588b0961e8e26b7ef566.jpg|Nu couché|HENRI MATISSE|Jun 3, 2020|27,177 - 38,048 USD|57,072 USD|images/henri_matisse/d97b9e7dac7e588b0961e8e26b7ef566.jpg
59|2D|1948|Charcoal|Paper|Yes|60 x 40 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/41d1b6dfd82ef693e4bf3e35eda01c74.jpg|NU|HENRI MATISSE|May 28, 2020|86,400 - 129,600 USD|Unsold|images/henri_matisse/41d1b6dfd82ef693e4bf3e35eda01c74.jpg
60|2D|1942|Pen, India Ink|Paper|Yes|20.25 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/58b5c87dafe22d33f7d247db421b80c1.jpg|Portrait de Monique Bourgeois|HENRI MATISSE|May 28, 2020|150,000 - 200,000 USD|150,000 USD|images/henri_matisse/58b5c87dafe22d33f7d247db421b80c1.jpg
61|2D|1941|Brush, Ink, Pencil|Paper|Yes|10.5 x 8 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f18decfb362459ce0862e8ff44d27839.jpg|BOUQUET DE FLEURS|HENRI MATISSE|May 18, 2020|40,000 - 60,000 USD|93,750 USD|images/henri_matisse/f18decfb362459ce0862e8ff44d27839.jpg
62|2D|1913|Pen, Ink|Paper|Yes|9.875 x 7.438 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/80619c8feca117de67b3f5bfdbd8a45a.jpg|Soldat Marocain et Hamido|HENRI MATISSE|May 14, 2020|10,000 - 15,000 USD|18,750 USD|images/henri_matisse/80619c8feca117de67b3f5bfdbd8a45a.jpg
63|2D||Pencil|Paper|Yes|7.75 x 10 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b14dc2fd0583c52ed2d7ea3f73bb70f0.jpg|Environs de Tanger|HENRI MATISSE|Feb 6, 2020|6,501 - 9,102 USD|Unsold|images/henri_matisse/b14dc2fd0583c52ed2d7ea3f73bb70f0.jpg
64|2D|1919|Pencil|Paper|Yes|15.5 x 10.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/91b6ec7874a9512922b482512825d7bb.jpg|Étude pour intérieur, Nice|HENRI MATISSE|Feb 6, 2020|32,509 - 45,513 USD|Unsold|images/henri_matisse/91b6ec7874a9512922b482512825d7bb.jpg
65|2D||Charcoal|Paper|Unknown|10.5 x 8.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3dc71c78e86559efd7b2a473160c8c91.jpg|Femme au chapeau|HENRI MATISSE|Feb 6, 2020|19,505 - 32,509 USD|29,258 USD|images/henri_matisse/3dc71c78e86559efd7b2a473160c8c91.jpg
66|2D||Pen, Ink|Paper|Yes|13.75 x 8.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a8507f643ac5bdb8b822c7d96c410d4c.jpg|Issy|HENRI MATISSE|Feb 6, 2020|10,403 - 15,604 USD|Unsold|images/henri_matisse/a8507f643ac5bdb8b822c7d96c410d4c.jpg
67|2D|1919|Pencil, Gouache, Wash|Paper|Yes|14.625 x 10.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f5900beac588b98078bf67ccb22abe5a.jpg|Le modèle nu assis|HENRI MATISSE|Feb 6, 2020|52,014 - 78,022 USD|68,269 USD|images/henri_matisse/f5900beac588b98078bf67ccb22abe5a.jpg
68|2D|1943|Pencil|Paper|Yes|20.875 x 15.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fcab609e0d8e40726d9cec397aefa4c6.jpg|Madame Jacqueline Leriche|HENRI MATISSE|Feb 6, 2020|52,014 - 78,022 USD|Unsold|images/henri_matisse/fcab609e0d8e40726d9cec397aefa4c6.jpg
69|2D||Pencil|Paper|Yes|10 x 12.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4f74b82c6621e4515003cb8aaf33de2a.jpg|Notre Dame|HENRI MATISSE|Feb 6, 2020|13,003 - 19,505 USD|35,760 USD|images/henri_matisse/4f74b82c6621e4515003cb8aaf33de2a.jpg
70|2D|1920|Pencil|Paper|Yes|9.625 x 12.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/81310c9947f610a966ce84a46304d657.jpg|Nu allongé (Odalisque)|HENRI MATISSE|Feb 6, 2020|58,516 - 84,524 USD|Unsold|images/henri_matisse/81310c9947f610a966ce84a46304d657.jpg
71|2D||Charcoal|Paper|Yes|13.25 x 8.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/139155d97dfb2128a2573a7cce9039e2.jpg|Nu debout|HENRI MATISSE|Feb 6, 2020|19,505 - 32,509 USD|17,880 USD|images/henri_matisse/139155d97dfb2128a2573a7cce9039e2.jpg
72|2D|1930|Pencil|Paper|Yes|9.5 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ebe7f31645d99356a5fb6c1c71f48f97.jpg|Odalisque dans une chambre ornementale|HENRI MATISSE|Feb 6, 2020|45,513 - 58,516 USD|Unsold|images/henri_matisse/ebe7f31645d99356a5fb6c1c71f48f97.jpg
73|2D|1905|Pen, Ink|Paper|Yes|22.4 x 35.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1f49f6790fb6f612c4a0032ef4a8a1ab.jpg|ÉGLISE À COLLIOURE|HENRI MATISSE|Feb 5, 2020|9,102 - 11,703 USD|13,003 USD|images/henri_matisse/1f49f6790fb6f612c4a0032ef4a8a1ab.jpg
74|2D|1918|Oil|Canvas|Yes|28.75 x 21.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fcf33fc4ffbbac2ac3518df06d242da8.jpg|Femme en blanc debout devant une glace|HENRI MATISSE|Feb 5, 2020|780,224 - 1,040,299 USD|716,831 USD|images/henri_matisse/fcf33fc4ffbbac2ac3518df06d242da8.jpg
75|2D|1941|Pen, Ink|Paper|Yes|20.5 x 26.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/062a2b3ade00c7050ed4850f21581717.jpg|MAGNOLIA|HENRI MATISSE|Feb 5, 2020|28,608 - 36,410 USD|56,891 USD|images/henri_matisse/062a2b3ade00c7050ed4850f21581717.jpg
76|2D|1926|Pencil|Paper|Yes|28.2 x 38 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3652e05d9ac69ee1cf2b5e537da9c07d.jpg|NU ALLONGÉ|HENRI MATISSE|Feb 5, 2020|23,406 - 32,509 USD|39,011 USD|images/henri_matisse/3652e05d9ac69ee1cf2b5e537da9c07d.jpg
77|2D|1944|Pen, Ink|Paper|Yes|16.8 x 26.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/247da8dbdcf93056698b89210e472233.jpg|UN HOMMAGE À MADAME PIERRINE ISSERT|HENRI MATISSE|Dec 17, 2019|8,000 - 12,000 USD|32,500 USD|images/henri_matisse/247da8dbdcf93056698b89210e472233.jpg
