|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file|Medium
19|2D|1997|Oil|Canvas|Unknown|55.125 x 43.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0cc120539b96d77f3c7d0cc01cdf60aa.jpg|UNTITLED (HEY, CITY!!), 1997|FRANZ ACKERMANN|Mar 6, 2018|15,000 - 20,000 USD|Unsold|images/franz_ackermann/0cc120539b96d77f3c7d0cc01cdf60aa.jpg|
20|2D|2001|Graphite, Felt-Tip Pen, Gouache|Paper|Yes|12.125 x 17.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/68b5bc4b0773c80c51fccbd0fe1c415b.jpg|Untitled|FRANZ ACKERMANN|Dec 14, 2017|6,000 - 8,000 USD|6,000 USD|images/franz_ackermann/68b5bc4b0773c80c51fccbd0fe1c415b.jpg|
21|2D|2005|Pencil, Pen, Watercolour, Photo Collage|Paper|Unknown|40.5 x 50.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/91d07bc548f67c4a7e96cc8507d0fbd9.jpg|MY MOUNTAINS|FRANZ ACKERMANN|Jun 29, 2017|19,456 - 25,942 USD|Unsold|images/franz_ackermann/91d07bc548f67c4a7e96cc8507d0fbd9.jpg|
22|2D|1998|Watercolor, Marker|Paper|Yes|7.5 x 5.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/00a309233e3588942e7ed1153388b6c0.jpg|Untitled (Pacific No. 24: Cook's Cottage)|FRANZ ACKERMANN|Feb 28, 2017|3,000 - 5,000 USD|5,000 USD|images/franz_ackermann/00a309233e3588942e7ed1153388b6c0.jpg|
23|2D|1997|Oil|Canvas|Yes|94.5 x 149.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/852aa677881673bc1f4a42b80409548e.jpg|Untitled (evasion XII: what a game)|FRANZ ACKERMANN|Sep 28, 2016|50,000 - 70,000 USD|43,750 USD|images/franz_ackermann/852aa677881673bc1f4a42b80409548e.jpg|
24|2D|1997|Oil, Watercolor, Graphite|Paper|Yes|17.5 x 13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ad95519787dea1937b8636547ed0d795.jpg|Untitled (mental map: saturday)|FRANZ ACKERMANN|Sep 30, 2015|7,000 - 10,000 USD|8,125 USD|images/franz_ackermann/ad95519787dea1937b8636547ed0d795.jpg|
25|2D||Gouache, Pencil, Ink, Paper, Collage|Paper, Dibond|Yes|198 x 154.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/57942a325998456132c3d5dfea269950.jpg|BOARDING/BOARDING AND BOARDING|FRANZ ACKERMANN|Jul 2, 2015|23,368 - 31,158 USD|38,947 USD|images/franz_ackermann/57942a325998456132c3d5dfea269950.jpg|
26|2D|2001|Pencil, Ink, Gouache|Paper|Yes|27.25 x 39.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8ed80c3d9ef94a87b06b37f62b15f794.jpg|ALL THE COUNTRIES OF THE WORLD|FRANZ ACKERMANN|Jun 10, 2015|15,000 - 20,000 USD|Unsold|images/franz_ackermann/8ed80c3d9ef94a87b06b37f62b15f794.jpg|
27|2D|2001|Oil|Canvas|Yes|62.875 x 51.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/280c05b542ce1834161bd4513b67d6e0.jpg|Epicenter X|FRANZ ACKERMANN|Feb 13, 2015|61,512 - 92,268 USD|Unsold|images/franz_ackermann/280c05b542ce1834161bd4513b67d6e0.jpg|
28|2D|1998|Gouache, Graphite, Ink|Paper|Yes|13 x 9 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1cbecf261e5689750e7174b862b67717.jpg|Untitled (pacific no. 11: deep excavation)|FRANZ ACKERMANN|Nov 13, 2014|7,000 - 10,000 USD|15,000 USD|images/franz_ackermann/1cbecf261e5689750e7174b862b67717.jpg|
29|2D|1998|Graphite, Watercolor|Paper|Yes|16 x 11 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d8d091d61f7ea38bbac89343bc2eaeee.jpg|Untitled (pacific no. 22: mr. pigman you are nothing)|FRANZ ACKERMANN|Nov 13, 2014|7,000 - 10,000 USD|10,625 USD|images/franz_ackermann/d8d091d61f7ea38bbac89343bc2eaeee.jpg|
30|2D|1998|Gouache|Paper|Unknown|8 x 5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0c0245697e2cbf763ddb8ba04977eefd.jpg|Untitled (pacific no. 40: room 342)|FRANZ ACKERMANN|Nov 13, 2014|4,000 - 6,000 USD|4,000 USD|images/franz_ackermann/0c0245697e2cbf763ddb8ba04977eefd.jpg|
31|2D|2001|Oil|Canvas|Yes|109.375 x 137.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dfbdb5e5bd010fcbe70b37e9832f5645.jpg|Transall delivering a piece of my hometown|FRANZ ACKERMANN|Jul 3, 2014|68,528 - 102,792 USD|Unsold|images/franz_ackermann/dfbdb5e5bd010fcbe70b37e9832f5645.jpg|
32|2D|2001|Oil|Canvas|Yes|100.375 x 74.813 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1dc14ddd8df42c589b01adb79249dded.jpg|Helicopter XVIII (reality check)|FRANZ ACKERMANN|May 16, 2014|50,000 - 70,000 USD|93,750 USD|images/franz_ackermann/1dc14ddd8df42c589b01adb79249dded.jpg|
33|2D|2006|Oil|Canvas|Yes|53.375 x 69.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f5e179e32851bf640eb2369bb67c64e6.jpg|Busy Harbour|FRANZ ACKERMANN|Jun 28, 2013|61,036 - 76,295 USD|72,480 USD|images/franz_ackermann/f5e179e32851bf640eb2369bb67c64e6.jpg|
34|2D||Oil|Canvas|Yes|240 x 190 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a8f22407649857603f1ad061ba5791d3.jpg|MY PRIVATE TO NICOSIA|FRANZ ACKERMANN|Jun 27, 2013|45,828 - 61,104 USD|38,190 USD|images/franz_ackermann/a8f22407649857603f1ad061ba5791d3.jpg|
35|2D|2000|Oil|Canvas|Unknown|127.125 x 110.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/54d39b5ddf8eb361bcf8d3a7be909e83.jpg|Untitled (Helicopter II Crash)|FRANZ ACKERMANN|Apr 17, 2013|60,972 - 91,458 USD|66,688 USD|images/franz_ackermann/54d39b5ddf8eb361bcf8d3a7be909e83.jpg|
36|2D|1998|Watercolour|Paper|Yes|14 x 17 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d93033a842e94c6c164a5cc554b6b7c9.jpg|Untitled (Pacific no. 53: Julie's Palace)|FRANZ ACKERMANN|Apr 17, 2013|12,194 - 18,291 USD|13,337 USD|images/franz_ackermann/d93033a842e94c6c164a5cc554b6b7c9.jpg|
37|2D|2002|Oil|Canvas|Yes|109 x 113 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/455401a2300bb1bf9155c5b002b999b5.jpg|Evasion (Eye on You)|FRANZ ACKERMANN|Feb 14, 2013|77,535 - 108,549 USD|94,980 USD|images/franz_ackermann/455401a2300bb1bf9155c5b002b999b5.jpg|
38|2D|1997|Oil|Canvas|Yes|110.375 x 114.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d0b1b597c6020687b20a5d534762c246.jpg|Untitled (Evasion XIII - 5 Star Tropical)|FRANZ ACKERMANN|Feb 14, 2013|77,535 - 108,549 USD|85,676 USD|images/franz_ackermann/d0b1b597c6020687b20a5d534762c246.jpg|
39|2D|1999|Watercolor, Ink|Paper|Yes|5.125 x 7.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7a23c6429194c7962e93c597536402e1.jpg|TRANS EAST WEST (TEW) NO. 26: UNKNOWN INTERNATIONAL AIRPORT|FRANZ ACKERMANN|Nov 14, 2012|5,000 - 7,000 USD|Unsold|images/franz_ackermann/7a23c6429194c7962e93c597536402e1.jpg|
40|2D|2005|Pencil, Pen, Watercolour, Photo Collage|Paper|Unknown|40.5 x 50.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f962dacae7f52aa69fb2b0b5be6536c4.jpg|MY MOUNTAINS|FRANZ ACKERMANN|Oct 13, 2012|32,164 - 48,246 USD|Unsold|images/franz_ackermann/f962dacae7f52aa69fb2b0b5be6536c4.jpg|
41|2D|1999|Acrylic|Canvas|Yes|43.375 x 57.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4a4ec22da8b04cefc8aeef70cf344b06.jpg|Epicenter V|FRANZ ACKERMANN|Oct 15, 2011|39,457 - 55,240 USD|39,457 USD|images/franz_ackermann/4a4ec22da8b04cefc8aeef70cf344b06.jpg|
42|2D|2011|Watercolour|Aluminium Composite Panel|Yes|50 x 48 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9ce6185bd9c7b1478c6eff14d5704025.jpg|ALTES LAND - OST-WEST|FRANZ ACKERMANN|Oct 14, 2011|15,783 - 23,674 USD|19,728 USD|images/franz_ackermann/9ce6185bd9c7b1478c6eff14d5704025.jpg|
43|2D||Oil|Canvas|Yes|240 x 190 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3fae3ff6df39cabd3dcc1064a4ed7901.jpg|MY PRIVATE TO NICOSIA|FRANZ ACKERMANN|Oct 14, 2011|78,915 - 110,481 USD|Unsold|images/franz_ackermann/3fae3ff6df39cabd3dcc1064a4ed7901.jpg|
44|2D|1999|Oil|Canvas|Yes|78.25 x 102.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2abc41ff9aa9b8eddb9cd9d6329dcbe5.jpg|Cowardly Assault|FRANZ ACKERMANN|Mar 4, 2010|120,000 - 180,000 USD|Unsold|images/franz_ackermann/2abc41ff9aa9b8eddb9cd9d6329dcbe5.jpg|
45|2D|1997|Oil|Panel|Unknown|340 x 250 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c6e6b54920b2e5be69155f2c4ff4f07c.jpg|Epicentre 1|FRANZ ACKERMANN|Feb 12, 2010|109,312 - 140,544 USD|118,135 USD|images/franz_ackermann/c6e6b54920b2e5be69155f2c4ff4f07c.jpg|
46|2D||Watercolour, Mixed Media|Paper|Yes|120 x 160 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d1677cb20ffbe36cdef57ef9758cd43a.jpg|SOMEONE'S ARRIVAL SOMEWHERE|FRANZ ACKERMANN|Feb 11, 2010|46,899 - 62,532 USD|76,992 USD|images/franz_ackermann/d1677cb20ffbe36cdef57ef9758cd43a.jpg|
47|2D||Oil|Canvas|Yes|195 x 160 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7459f14b0e18a4305ca78997e7231b9f.jpg|THE MONUMENT|FRANZ ACKERMANN|Feb 11, 2010|109,431 - 140,697 USD|152,030 USD|images/franz_ackermann/7459f14b0e18a4305ca78997e7231b9f.jpg|
