|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file|Medium
77|2D|2001|Oil|Canvas|Yes|100.5 x 74.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9b07c72e9eda14a144d817767219f8fb.jpg|Helicopter XVIII (reality check)|FRANZ ACKERMANN|Jun 23, 2005|145,724 - 218,586 USD|228,787 USD|images/franz_ackermann/9b07c72e9eda14a144d817767219f8fb.jpg|
78|2D|1996|Oil|Canvas|Yes|110.25 x 112.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bdee8e5ac4d563717a5e30c8afc6db08.jpg|Untitled (Mental Map: Evasion III)|FRANZ ACKERMANN|Feb 4, 2004|64,282 - 82,648 USD|211,231 USD|images/franz_ackermann/bdee8e5ac4d563717a5e30c8afc6db08.jpg|
79|2D|1994|Pencil, Gouache|Paper|Unknown|5 x 7.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/035b637880c304f3b332a925df5d8061.jpg|Untitled (Mental Map); four works|FRANZ ACKERMANN|Mar 28, 2001|3,576 - 5,006 USD|11,429 USD|images/franz_ackermann/035b637880c304f3b332a925df5d8061.jpg|
0|2D||Oil|Board|Yes|10 x 12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c9d25d64615938505593148b48f38ec4.jpg|La Roja Borla|JOE ABBRESCIA|Sep 29, 2020|600 - 800 USD|325 USD|images/joe_abbrescia/c9d25d64615938505593148b48f38ec4.jpg|
1|2D||Oil|Canvas|Yes|11.5 x 15.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4e6f21f97cd29a0c137ff739b3178b43.jpg|Tetons|JOE ABBRESCIA|Nov 7, 2019|800 - 1,200 USD|1,500 USD|images/joe_abbrescia/4e6f21f97cd29a0c137ff739b3178b43.jpg|
2|2D||Oil|Canvas|Yes|10.25 x 13.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a1ff29e2e45b56dc0dec6529fd3d1c9b.jpg|White Horse|JOE ABBRESCIA|Nov 7, 2019|800 - 1,200 USD|531 USD|images/joe_abbrescia/a1ff29e2e45b56dc0dec6529fd3d1c9b.jpg|
3|2D||Oil|Board|Yes|24 x 36 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/36ade2225e5b4c108fd6da84481cca7c.jpg|The Buffalo Hides|JOE ABBRESCIA|Apr 6, 2019|4,000 - 6,000 USD|4,387 USD|images/joe_abbrescia/36ade2225e5b4c108fd6da84481cca7c.jpg|
4|2D|1981|Oil|Masonite|Yes|20 x 30 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1aec6acf38d8caceae080b6ce691e634.jpg|Days End|JOE ABBRESCIA|Feb 8, 2019|2,000 - 3,000 USD|2,750 USD|images/joe_abbrescia/1aec6acf38d8caceae080b6ce691e634.jpg|
5|2D||Oil|Panel|Yes|40 x 30 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b0270610bcae44e450c6c22435452fd8.jpg|Man of the Mountain|JOE ABBRESCIA|Nov 20, 2017|0 - 0 USD|6,250 USD|images/joe_abbrescia/b0270610bcae44e450c6c22435452fd8.jpg|
6|2D||Oil|Canvas|Unknown|12 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e0d68ce1bc613e0912f16d9f8c65bb37.jpg|Deer|JOE ABBRESCIA|Jan 1, 2017|0 - 0 USD|702 USD|images/joe_abbrescia/e0d68ce1bc613e0912f16d9f8c65bb37.jpg|
7|2D||Oil|Board|Unknown|12 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eef04f55d24ed73585887bfc28c595a2.jpg|Ramilette de Flores|JOE ABBRESCIA|Jan 1, 2017|800 - 1,200 USD|Unsold|images/joe_abbrescia/eef04f55d24ed73585887bfc28c595a2.jpg|
8|2D||Oil|Masonite|Unknown|11 x 14 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/461bc7732a5af518c170a92172f0e2c3.jpg|Wyoming Stream|JOE ABBRESCIA|Jan 1, 2017|0 - 0 USD|1,521 USD|images/joe_abbrescia/461bc7732a5af518c170a92172f0e2c3.jpg|
0|2D||Oil|Board|Yes|49 x 63.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3927859aee28c6e23baaa133053000d7.jpg|WINTER IN MONTMARTRE|ALEXANDER ALTMANN|Nov 26, 2019|5,160 - 7,740 USD|12,577 USD|images/alexander_altmann/3927859aee28c6e23baaa133053000d7.jpg|
1|2D||Oil|Canvas|Yes|73 x 92 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9719f782457721b694091bae3a5d3534.jpg|RIVER VIEW|ALEXANDER ALTMANN|Nov 26, 2013|16,160 - 24,240 USD|20,200 USD|images/alexander_altmann/9719f782457721b694091bae3a5d3534.jpg|
2|2D||Oil|Canvas|Yes|81 x 65 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b1281e61c58fdc3f67235e9d3fbb73de.jpg|AVENUE IN CRECY LA CHAPELLE|ALEXANDER ALTMANN|Jun 4, 2013|15,298 - 22,947 USD|15,298 USD|images/alexander_altmann/b1281e61c58fdc3f67235e9d3fbb73de.jpg|
3|2D||Oil|Canvas|Yes|89 x 115.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/734079b317d99f220bc728f67729970d.jpg|LE MONT ST. VICTOIRE|ALEXANDER ALTMANN|Jun 4, 2013|30,596 - 45,894 USD|Unsold|images/alexander_altmann/734079b317d99f220bc728f67729970d.jpg|
4|2D||Oil|Canvas|Yes|58 x 71 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0e0cc8f6a5f32256ebcfb859321c4e40.jpg|RIVER LANDSCAPE|ALEXANDER ALTMANN|Jun 4, 2013|15,298 - 22,947 USD|Unsold|images/alexander_altmann/0e0cc8f6a5f32256ebcfb859321c4e40.jpg|
5|2D||Oil|Canvas|Yes|73.5 x 59.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/198852727d13d322121caf07d80ec867.jpg|WILLOW TREE BY THE RIVER|ALEXANDER ALTMANN|Jun 4, 2013|30,596 - 45,894 USD|Unsold|images/alexander_altmann/198852727d13d322121caf07d80ec867.jpg|
6|2D||Oil|Canvas|Yes|81.5 x 100 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/459e370fdf8d4b884edaf07f851444d4.jpg|A SUMMER GARDEN IN FRANCE|ALEXANDER ALTMANN|Nov 27, 2012|24,058 - 40,097 USD|30,073 USD|images/alexander_altmann/459e370fdf8d4b884edaf07f851444d4.jpg|
7|2D|1919|Oil|Canvas|Yes|60 x 73 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/68774a7e4cf3b7a41ea2be85fd1dbad6.jpg|A SUNLIT GARDEN|ALEXANDER ALTMANN|Nov 27, 2012|16,039 - 24,058 USD|32,078 USD|images/alexander_altmann/68774a7e4cf3b7a41ea2be85fd1dbad6.jpg|
8|2D||Oil|Canvas|Yes|89 x 115.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8ff84ed9b657c3af9041c0ae0c6ad180.jpg|LE MONT ST. VICTOIRE|ALEXANDER ALTMANN|May 29, 2012|31,330 - 46,995 USD|Unsold|images/alexander_altmann/8ff84ed9b657c3af9041c0ae0c6ad180.jpg|
9|2D||Oil|Canvas|Yes|81.5 x 101.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9fa80359ccf05d5f691ca777bd58b670.jpg|MOUNTAIN LANDSCAPE|ALEXANDER ALTMANN|May 29, 2012|15,665 - 23,497 USD|19,581 USD|images/alexander_altmann/9fa80359ccf05d5f691ca777bd58b670.jpg|
10|2D||Oil|Canvas|Yes|73.5 x 92 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a38deaed004d7661a26c22410556f481.jpg|RIVERSIDE HOUSES, FRANCE|ALEXANDER ALTMANN|Nov 29, 2011|23,433 - 31,244 USD|35,149 USD|images/alexander_altmann/a38deaed004d7661a26c22410556f481.jpg|
11|2D||Oil|Canvas|Yes|72.75 x 54 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9c122c4d850693ead36ecfff45d7962b.jpg|STILL LIFE OF FLOWERS IN A VASE|ALEXANDER ALTMANN|Jun 7, 2011|16,418 - 24,627 USD|20,522 USD|images/alexander_altmann/9c122c4d850693ead36ecfff45d7962b.jpg|
12|2D||Oil|Canvas|Yes|92.5 x 73.5 x 29 cm||FISHING BY THE RIVER|ALEXANDER ALTMANN|Dec 1, 2009|49,702 - 82,837 USD|81,595 USD||
13|2D||Oil|Canvas|Yes|49 x 65.5 x 25.75 cm||LANDSCAPE IN BLOOM|ALEXANDER ALTMANN|Dec 1, 2009|16,567 - 24,851 USD|37,277 USD||
14|2D||Oil|Canvas|Yes|92 x 73.5 x 29 cm||WINTER LANDSCAPE|ALEXANDER ALTMANN|Dec 1, 2009|24,851 - 33,135 USD|28,993 USD||
15|2D||Oil|Canvas|Yes|73.5 x 92 x 36.25 cm||FLOWERS IN A PARK|ALEXANDER ALTMANN|Jun 10, 2009|13,144 - 19,716 USD|36,967 USD||
16|2D||Oil|Canvas|Yes|90 x 60 x 23.5 cm||SUNLIT FLOWERS|ALEXANDER ALTMANN|Jun 10, 2009|13,144 - 19,716 USD|34,914 USD||
17|2D||Oil|Canvas|Yes|81.5 x 100 x 39.5 cm||THE FROZEN LAKE|ALEXANDER ALTMANN|Jun 10, 2009|19,716 - 29,574 USD|36,967 USD||
18|2D||Oil|Canvas|Yes|60 x 73 x 28.75 cm||WINTER LANDSCAPE|ALEXANDER ALTMANN|Jun 10, 2009|13,144 - 19,716 USD|19,510 USD||
19|2D||Oil|Canvas|Yes|81 x 65 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e4e2957d3e3992c8d049e93e59f4f404.jpg|AUTUMN LANDSCAPE|ALEXANDER ALTMANN|Nov 25, 2008|18,006 - 22,508 USD|20,632 USD|images/alexander_altmann/e4e2957d3e3992c8d049e93e59f4f404.jpg|
20|2D||Oil|Canvas|Unknown|100 x 81 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e8c38b380df1a2cbabe6778dee40ef23.jpg|THE FLOWER BED|ALEXANDER ALTMANN|Nov 25, 2008|18,006 - 27,010 USD|77,503 USD|images/alexander_altmann/e8c38b380df1a2cbabe6778dee40ef23.jpg|
21|2D||Oil|Canvas|Yes|81 x 100 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1d91e6424a4fdb361b7c91d54e42b930.jpg|WINTER LANDSCAPE|ALEXANDER ALTMANN|Nov 25, 2008|15,005 - 22,508 USD|45,016 USD|images/alexander_altmann/1d91e6424a4fdb361b7c91d54e42b930.jpg|
22|2D||Oil|Canvas|Yes|100 x 82 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/026a5c622e64d65896821f193fc255d0.jpg|WINTER LANDSCAPE|ALEXANDER ALTMANN|Jun 10, 2008|29,355 - 39,140 USD|68,202 USD|images/alexander_altmann/026a5c622e64d65896821f193fc255d0.jpg|
23|2D||Oil|Canvas|Yes|65 x 81 x 39.625 cm||BY THE SEA|ALEXANDER ALTMANN|Nov 27, 2007|16,560 - 24,840 USD|48,231 USD||
24|2D||Oil|Canvas|Yes|65 x 81 x 32 cm||IN THE PARK|ALEXANDER ALTMANN|Nov 27, 2007|20,700 - 31,050 USD|55,683 USD||
25|2D||Oil|Canvas|Yes|60 x 73 x 28.75 cm||STILL LIFE OF FLOWERS|ALEXANDER ALTMANN|Nov 27, 2007|16,560 - 24,840 USD|40,779 USD||
26|2D||Oil|Canvas|Yes|23.625 x 28.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ccdb7b3926a65be7cb6142d69e101344.jpg|SUMMER LANDSCAPE|ALEXANDER ALTMANN|Sep 29, 2007|8,000 - 12,000 USD|13,750 USD|images/alexander_altmann/ccdb7b3926a65be7cb6142d69e101344.jpg|
27|2D||Oil|Canvas|Yes|59 x 72 x 28.25 cm||THE BRIDGE|ALEXANDER ALTMANN|Jun 14, 2007|11,807 - 15,743 USD|28,337 USD||
28|2D||Oil|Canvas|Yes|65 x 81 x 32 cm||THE RIVER BANK|ALEXANDER ALTMANN|Jun 14, 2007|11,807 - 15,743 USD|33,060 USD||
29|2D||Oil|Canvas|Yes|102 x 196 x 77 cm||MEDITERRANEAN LANDSCAPE|ALEXANDER ALTMANN|Jun 12, 2007|29,611 - 39,482 USD|80,543 USD||
30|2D||Oil|Canvas|Yes|101 x 171 x 67.25 cm||WINTER LANDSCAPE|ALEXANDER ALTMANN|Jun 12, 2007|35,534 - 49,352 USD|71,068 USD||
31|2D||Oil|Canvas|Yes|35 x 45.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0ed83f5725da59a2f9e3ec1435e22924.jpg|LA CÔTE DE GRÂCE PRÈS DE HONFLEUR|ALEXANDER ALTMANN|Apr 17, 2007|30,000 - 40,000 USD|57,000 USD|images/alexander_altmann/0ed83f5725da59a2f9e3ec1435e22924.jpg|
32|2D|1930|Oil|Canvas|Yes|31.875 x 25.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/172105f5585b4cca7a79dd24512be163.jpg|PÊCHEUR EN BARQUE, 1930|ALEXANDER ALTMANN|Apr 17, 2007|20,000 - 30,000 USD|84,000 USD|images/alexander_altmann/172105f5585b4cca7a79dd24512be163.jpg|
33|2D||Oil|Canvas|Yes|54 x 65 x 25.5 cm||COASTAL VIEW|ALEXANDER ALTMANN|Jun 1, 2006|5,580 - 7,440 USD|6,026 USD||
34|2D||Oil|Canvas|Yes|50 x 61 x 24 cm||HOUSE BY THE RIVERSIDE|ALEXANDER ALTMANN|Jun 1, 2006|9,300 - 13,020 USD|11,160 USD||
35|2D||Oil|Canvas|Yes|71 x 58.5 x 23 cm||LAKE LANDSCAPE|ALEXANDER ALTMANN|Jun 1, 2006|7,440 - 11,160 USD|17,856 USD||
36|2D||Oil|Canvas|Yes|72.5 x 91 x 35.75 cm||POPLARS IN A WINTER LANDSCAPE|ALEXANDER ALTMANN|May 31, 2006|18,760 - 28,141 USD|22,512 USD||
37|2D||Oil|Canvas|Yes|60 x 81 x 32 cm||THE FROZEN LAKE|ALEXANDER ALTMANN|May 31, 2006|15,008 - 22,512 USD|29,266 USD||
38|2D||Oil|Canvas|Yes|60 x 73 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bfbdddff5b98b5770a755f1c51ff1413.jpg|FOREST IN WINTER|ALEXANDER ALTMANN|Dec 1, 2005|6,910 - 10,366 USD|Unsold|images/alexander_altmann/bfbdddff5b98b5770a755f1c51ff1413.jpg|
39|2D||Oil|Canvas|Yes|47 x 73 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/27d4a32fdd526a3d1c859c07b88b0c68.jpg|LAKE LANDSCAPE|ALEXANDER ALTMANN|Dec 1, 2005|8,638 - 12,094 USD|Unsold|images/alexander_altmann/27d4a32fdd526a3d1c859c07b88b0c68.jpg|
40|2D|1924|Oil|Canvas|Yes|114 x 82 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ad47489eaa01a7bac0503b333b6b6ce3.jpg|STILL LIFE OF FLOWERS|ALEXANDER ALTMANN|Dec 1, 2005|17,277 - 25,915 USD|45,611 USD|images/alexander_altmann/ad47489eaa01a7bac0503b333b6b6ce3.jpg|
41|2D||Oil|Canvas|Yes|21.5 x 25.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b5c941b4ad1a4772f3dc33e6f9d01d5e.jpg|A row of Poplar trees by the river|ALEXANDER ALTMANN|Sep 21, 2005|7,243 - 10,865 USD|8,258 USD|images/alexander_altmann/b5c941b4ad1a4772f3dc33e6f9d01d5e.jpg|
42|2D||Oil|Canvas|Yes|54 x 65 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8f8481e6531eb3a73214cdbf050be6d1.jpg|AUTUMN|ALEXANDER ALTMANN|Dec 2, 2004|9,661 - 13,525 USD|12,752 USD|images/alexander_altmann/8f8481e6531eb3a73214cdbf050be6d1.jpg|
43|2D|1932|Oil|Canvas|Yes|46 x 38.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8f8481e6531eb3a73214cdbf050be6d1.jpg|FLOWERS AGAINST A WHITE DRAPE|ALEXANDER ALTMANN|Dec 2, 2004|1,932 - 2,898 USD|Unsold|images/alexander_altmann/8f8481e6531eb3a73214cdbf050be6d1.jpg|
44|2D||Oil|Canvas|Yes|54.5 x 65.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/99fca3db1c9059a83e74bfd8cfc4ac7a.jpg|HOUSE BY THE RIVER|ALEXANDER ALTMANN|Dec 2, 2004|5,796 - 7,728 USD|7,419 USD|images/alexander_altmann/99fca3db1c9059a83e74bfd8cfc4ac7a.jpg|
45|2D||Oil|Canvas|Yes|65 x 81 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8f8481e6531eb3a73214cdbf050be6d1.jpg|THE BRIDGE|ALEXANDER ALTMANN|Dec 2, 2004|11,593 - 17,390 USD|13,912 USD|images/alexander_altmann/8f8481e6531eb3a73214cdbf050be6d1.jpg|
46|2D||Oil|Canvas|Yes|43 x 94.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8f8481e6531eb3a73214cdbf050be6d1.jpg|THREE ORTHODOX PRIESTS|ALEXANDER ALTMANN|Dec 2, 2004|5,796 - 7,728 USD|6,956 USD|images/alexander_altmann/8f8481e6531eb3a73214cdbf050be6d1.jpg|
47|2D||Oil|Canvas|Yes|21.125 x 29.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b32190d0f0d4821f44bd2e65edcabbb5.jpg|SPRING LANDSCAPE|ALEXANDER ALTMANN|Apr 23, 2004|15,000 - 20,000 USD|16,800 USD|images/alexander_altmann/b32190d0f0d4821f44bd2e65edcabbb5.jpg|
0|2D|1983|Pen, Marker|Paper|Unknown|11 x 25.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9bc3d7f15e67e87a90572809a3cf3f72.jpg|Drawings for Cabinet Chair|VITO ACCONCI|Aug 6, 2020|4,000 - 6,000 USD|Unsold|images/vito_acconci/9bc3d7f15e67e87a90572809a3cf3f72.jpg|
1|2D|1970|C-print, Ink|Cardboard |Yes|76.5 x 101.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/545c3baf065b3e5ec4bd6e222b0769cc.jpg|Openings|VITO ACCONCI|Nov 26, 2019|3,332 - 5,554 USD|13,886 USD|images/vito_acconci/545c3baf065b3e5ec4bd6e222b0769cc.jpg|
2|2D|2010|Collage|Matboard|Yes|32 x 40 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0ed70de3df73bbe56d032f23c0ff5cb3.jpg|King's Cross, Summer|VITO ACCONCI|Sep 25, 2019|2,000 - 3,000 USD|4,075 USD|images/vito_acconci/0ed70de3df73bbe56d032f23c0ff5cb3.jpg|
3|2D|1974|Charcoal|Paper|Unknown|14 x 21.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a3f20e4790d5a58473c83323ed6a5928.jpg|VIEWS OF A LANDING PREPARATORY DRAWING|VITO ACCONCI|Mar 2, 2018|4,000 - 6,000 USD|8,750 USD|images/vito_acconci/a3f20e4790d5a58473c83323ed6a5928.jpg|
4|2D|1981|Pastel, Graphite|Paper|Yes|9.5 x 12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5a3b0153c872b6a658653d239c833b55.jpg|AIRPLANE CITY|VITO ACCONCI|Mar 2, 2017|25,000 - 35,000 USD|31,250 USD|images/vito_acconci/5a3b0153c872b6a658653d239c833b55.jpg|
5|2D|1971|Photographs, Color Photographs, Printed Text|Board|Yes|33.5 x 50.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b49f4c938af9bfb7adffe16c1a78e302.jpg|BROAD JUMP '71|VITO ACCONCI|Mar 3, 2016|8,000 - 12,000 USD|17,500 USD|images/vito_acconci/b49f4c938af9bfb7adffe16c1a78e302.jpg|
6|2D Edition|1978|Gelatin Silver Prints, Chalk, Ink, Graphite|Paper|Yes|81.5 x 119 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d2e266c1d9e1b4d812df9555a90e31ab.jpg|Two or three structures that can hook on to a room and support a political boomerang|VITO ACCONCI|Nov 11, 2015|40,000 - 60,000 USD|43,750 USD|images/vito_acconci/d2e266c1d9e1b4d812df9555a90e31ab.jpg|
7|2D|1969|Photographs, Spray Paint, Chalk|Foam core|Yes|27.625 x 143 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ea55f9b7c3777070412e64caff587d74.jpg|JUMPS|VITO ACCONCI|Sep 29, 2015|25,000 - 35,000 USD|40,000 USD|images/vito_acconci/ea55f9b7c3777070412e64caff587d74.jpg|
8|2D|1969|Photographs, Spray Paint, Chalk|Foam core|Yes|27.625 x 143 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0a43b8a0b6016889e034269236c2584e.jpg|JUMPS|VITO ACCONCI|Nov 12, 2014|50,000 - 70,000 USD|50,000 USD|images/vito_acconci/0a43b8a0b6016889e034269236c2584e.jpg|
9|2D|1970|Ink, Graphite|Paper, Photograph|Yes|11 x 8.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e49bb4e5e1f84cdfa85730a946930466.jpg|THIRTY-FIVE APPROACHES|VITO ACCONCI|Nov 12, 2014|20,000 - 30,000 USD|78,125 USD|images/vito_acconci/e49bb4e5e1f84cdfa85730a946930466.jpg|
10|2D|1969|Photographs, Spray Paint, Chalk|Foam core|Yes|40 x 32 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eec9d6d5e77625b600094e946ad00e86.jpg|LEAN|VITO ACCONCI|May 15, 2014|50,000 - 70,000 USD|50,000 USD|images/vito_acconci/eec9d6d5e77625b600094e946ad00e86.jpg|
11|2D|1970|Photographs, Spray Paint, Chalk|Foam core|Yes|39 x 38.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0a5aedc1a824583917da7b358b654e05.jpg|SPIN|VITO ACCONCI|May 15, 2014|40,000 - 60,000 USD|Unsold|images/vito_acconci/0a5aedc1a824583917da7b358b654e05.jpg|
12|2D|1975|Photograph, Chalk, Wax crayon|Cardboard |Yes|54.25 x 4.963 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f41e1b5a6992a46bef3b37ed67093850.jpg|Drawing: Voice of America - Portland, Oregon|VITO ACCONCI|Mar 26, 2014|11,580 - 16,544 USD|22,748 USD|images/vito_acconci/f41e1b5a6992a46bef3b37ed67093850.jpg|
13|2D Edition|1972|Gelatin Silver Prints, Ink, Felt-Tip Pen, Wax crayon|Board|Yes|29.875 x 40 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/afc7d27cc96b9c81b7ee4c6d8b66bbd0.jpg|Documentation: Transference Zone|VITO ACCONCI|Oct 19, 2013|40,477 - 56,668 USD|52,620 USD|images/vito_acconci/afc7d27cc96b9c81b7ee4c6d8b66bbd0.jpg|
14|2D Edition|1980|Spray Enamel, Gelatin Silver Prints|Foamcore, Metal|Yes|40.75 x 60.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c7ede37904d151944feb453ba4e4ec2c.jpg|Hands Up Hands Down|VITO ACCONCI|Jun 26, 2013|12,284 - 18,426 USD|17,274 USD|images/vito_acconci/c7ede37904d151944feb453ba4e4ec2c.jpg|
15|2D|1969|Gelatin Silver Print, Chalk|Paper, Foam core|Unknown|19.5 x 19.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3b8626a22a718b29ab50cf4b581b3947.jpg|Closures|VITO ACCONCI|Nov 7, 2011|0 - 0 USD|21,250 USD|images/vito_acconci/3b8626a22a718b29ab50cf4b581b3947.jpg|
16|2D Edition|1969|Spray Enamel, Gelatin Silver Prints|Foamcore, Metal|Yes|95 x 95 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/910b02e86b958a1dcf5d2f8af40fbacf.jpg|Margins|VITO ACCONCI|May 12, 2011|30,000 - 40,000 USD|50,000 USD|images/vito_acconci/910b02e86b958a1dcf5d2f8af40fbacf.jpg|
17|2D|1972|Photograph, Chalk, Mixed Media Collage|Paper|Yes|30 x 41 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3607534d2ab4773c5dd9476bd5eb741d.jpg|SEEDBED|VITO ACCONCI|May 13, 2010|20,000 - 30,000 USD|34,375 USD|images/vito_acconci/3607534d2ab4773c5dd9476bd5eb741d.jpg|
18|2D|1970|Colored Pencils, Color|Board|Yes|30 x 40 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3eeb450b518528777cc51172071e7832.jpg|Rubbings (Super 8 Film, color; December|VITO ACCONCI|Sep 13, 2006|3,000 - 5,000 USD|19,200 USD|images/vito_acconci/3eeb450b518528777cc51172071e7832.jpg|
19|2D|1973|Silver, Color, Acetate, Pencil|Board|Yes|30 x 40 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/29443c0024ce6ad7ea64e6892964ac6b.jpg|Reception Room|VITO ACCONCI|Nov 16, 2001|20,000 - 30,000 USD|23,500 USD|images/vito_acconci/29443c0024ce6ad7ea64e6892964ac6b.jpg|
0|3D|2019|||Unknown|59.5 x 59.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e5ae804e3d1e82a03ecf3f35d4de06e3.jpg|AFTER LEWITT 3|HAMRA ABBAS|Jun 25, 2020|3,000 - 4,000 USD|4,000 USD|images/hamra_abbas/e5ae804e3d1e82a03ecf3f35d4de06e3.jpg|Marble
1|3D|2019|||Unknown|47 x 47 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5470f8336c8b8017a72b12e176ba0ce1.jpg|CONSTRUCTION DRAWING 1 (TRIANGLE)|HAMRA ABBAS|Jun 25, 2020|10,000 - 15,000 USD|15,000 USD|images/hamra_abbas/5470f8336c8b8017a72b12e176ba0ce1.jpg|Marble, Granite
0|3D||||Unknown|38 x 41 x 41 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ec229f8fcb50cca1d6bbd08c7b169c4c.jpg|Deep rimmed pot|MOHAMMED AHMED ABDALLA ABBARO|Oct 8, 2020|3,894 - 6,491 USD|4,948 USD|images/mohammed_ahmed_abdalla_abbaro/ec229f8fcb50cca1d6bbd08c7b169c4c.jpg|Stoneware
1|3D||||Yes|37 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ded4f7feaffcd7d1cabba54a7b47b323.jpg|Wide rimmed pot|MOHAMMED AHMED ABDALLA ABBARO|Oct 18, 2019|3,707 - 6,179 USD|Unsold|images/mohammed_ahmed_abdalla_abbaro/ded4f7feaffcd7d1cabba54a7b47b323.jpg|Stoneware
0|2D||Oil|Canvas|Unknown|25 x 20 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e34ee5e3c5dba43a5ae727d3b64c1761.jpg|Sibilla Persica|GIOVANNI FRANCESCO BARBIERI, CALLED GUERCINO|Aug 20, 2020|300 - 500 USD|160 USD|images/giovanni_francesco_barbieri,_called_guercino/e34ee5e3c5dba43a5ae727d3b64c1761.jpg|
1|2D||Oil|Canvas|Unknown|20.25 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8c568060d7a34e187d5b3565229dc977.jpg|Saint Alexius in a brown wrap, holding a staff|GIOVANNI FRANCESCO BARBIERI, CALLED GUERCINO|Jul 29, 2020|61,926 - 99,082 USD|209,001 USD|images/giovanni_francesco_barbieri,_called_guercino/8c568060d7a34e187d5b3565229dc977.jpg|
